一 a
匾 hwld
巨 hx
轻 hxb
辗 hxe
巨 hxvv
轰 hxx
切 hy
切 hyd
熙 hyu
熙 hyuo
顿 hzg
上 i
虫 ia
卡 iai
虾 iaid
凸 iaya
些 ib
蛙 ibb
虹 ibi
蚌 ici
螓 icmf
卜 id
上 ida
卡 idai
占 idj
战 idjh
卤 idjo
点 idju
卓 idke
桌 idkf
叔 idkx
贞 idlo
壑 idxb
颅 idxg
卢 idxm
餐 idxo
歧 ie
蝶 ief
蜡 iek
歧 iex
蝶 iez
蝶 iezf
蠕 ifg
蠕 ifgl
蜥 ifp
蜥 ifpd
虎 ih
虞 ihag
觑 ihkl
虚 ihku
虑 ihwz
虏 ihym
止 ii
卡 iid
歧 iiex
频 iikg
步 iiko
肯 iiq
些 iirb
柴 iirf
赀 iirl
雌 iirn
此 iirr
紫 iirz
点 ij
虞 ija
战 ijh
蝇 ijk
蝇 ijkz
蜗 ijl
蜗 ijlo
卤 ijo
点 iju
旧 ik
卓 ike
桌 ikf
频 ikg
步 iko
蝎 ikr
蝎 ikry
虚 iku
旧 ikvv
叔 ikx
螺 ikz
蛆 ilc
蛊 ilk
蛊 ilka
贞 ilo
蛾 imh
蛾 imhm
蛾 imv
齿 io
蛤 ioaj
龄 ioow
龄 iow
肯 iq
此 ir
些 irb
蜂 irc
蜂 irci
柴 irf
赀 irl
雌 irn
餐 irx
紫 irz
蛀 isc
蟑 isk
蟑 iske
蚊 iso
蛟 isoo
蚁 isos
蜕 iuj
蜕 iujr
蝉 iuk
蝉 iuke
壑 iwa
蛇 iwr
蛇 iwrr
蜿 iwry
虑 iwz
颅 ixg
蛹 ixld
卢 ixm
凸 iy
凹 iy
兕 iyar
虏 iym
凹 iyxa
中 j
口 ja
吁 jad
吴 jag
吴 jagd
呒 jagr
叮 jai
吓 jaid
呵 jaj
嗝 jajl
哑 jak
哽 jako
哑 jaku
嘎 jan
嘎 janh
嗄 janr
咧 jark
号 jaz
味 jb
哇 jbb
噎 jbju
味 jbk
味 jbko
园 jbr
嗜 jbrk
嘻 jbuj
吐 jbv
吐 jbvv
噎 jbw
唔 jbxj
围 jby
嘟 jby
哮 jbya
嗑 jbzl
国 jc
啧 jcl
啧 jclo
唛 jcr
唛 jcrs
呈 jcv
呈 jcvv
嗷 jcym
因 jd
囗 jdaa
园 jdbr
围 jdby
国 jdcs
团 jddm
固 jdej
困 jdf
囿 jdgq
